,query.content,ground_truth.keypoints,generated_response,keypoints_hit_ratio_by_human_eval
0,What was the total amount of JetWing Aviation's liabilities?,"[""JetWing Aviation's total liabilities amounted to $250 million.""]",$250 million,
1,Who was appointed as CEO of ABC Education Corporation in March 2021?,['Mr. John Doe was appointed as CEO of ABC Education Corporation in March 2021.'],Mr. John Doe was appointed as CEO of ABC Education Corporation in March 2021.,
2,"According to the hospitalization records of Newport General Hospital, what is V. Lewis's chief complaint?","[""V. Lewis's chief complaint is fever, cough, and chest pain."", 'The symptoms have persisted for 5 days.']","Fever, cough, and chest pain for 5 days.",
3,"According to the court judgment of Riverton, Hamilton, Court, what was the birthdate of H. Walker?","[""H. Walker's birthdate is 19th July, 1964 according to the court judgment of Riverton, Hamilton, Court.""]","18th July, 1964",
4,"According to the court judgment of Sterling, Quarryville, Court, what was the residence of Z. Torres?","['The residence of Z. Torres was 22, Maple Avenue, Quarryville.']","22, Maple Avenue, Quarryville",
5,"According to the court judgment of Brighton, Sterling, Court, what was the occupation of N. Adams?","['N. Adams was a Project Manager.', 'N. Adams worked at the Sterling Public Works Department.']",Project manager at the Sterling Public Works Department.,
6,"According to the court judgment of Preston, Lancaster, Court, what was the date of the judgment?",['The date of the court judgment was 30th June 2023.'],"30th of June, 2023",
7,"According to the court judgment of Trenton, Vandalia, Court, what was the judgment date?","['The judgment date of the Trenton, Vandalia, Court was 25th March 2023.']","The judgment date is not specified in the provided context for the Trenton, Vandalia, Court.",
8,"According to the court judgment of Norwood, Unionville, Court, who was the defendant?","['The defendant in the court judgment of Norwood, Unionville, Court was D. Morgan.']",D. Morgan,
9,"According to the court judgment of Vandalia, Bayside, Court, what was the sentence for G. Torres?","['G. Torres was sentenced to six years of fixed-term imprisonment according to the court judgment of Vandalia, Bayside, Court.']","The context does not provide the sentence for G. Torres according to the court judgment of Vandalia, Bayside, Court.",
10,"According to the court judgment of Riverside, Glenwood, Court, who was the defendant?","['The defendant in the court judgment of Riverside, Glenwood, Court was S. Taylor.']",Y. Nelson,
11,"According to the court judgment of Ashton, Clarksville, Court, what was the judgment date?",['The judgment date was 20th May 2023.'],"30th day of June, 2023.",
12,"According to the court judgment of Summerville, Windsor, Court, what was the sentence for F. James?","['F. James was sentenced to one year of fixed-term imprisonment according to the court judgment of Summerville, Windsor, Court.']",F. James was sentenced to one year of fixed-term imprisonment.,
13,"According to the hospitalization records of Lexington General Hospital, what is Q. Reyes's initial diagnosis?","[""Q. Reyes's initial diagnosis is Benign Esophageal Stricture.""]",Dysphagia and chest pain for the past 4 months.,
14,"According to the hospitalization records of Granville General Hospital, what is the patient's chief complaint?","[""The patient's chief complaint is local redness, swelling, heat, and pain on the left forearm."", 'The symptoms have been present for 3 days.']","Local redness, swelling, heat, and pain on the right forearm for 3 days.",
15,"According to the hospitalization records of Bridgewater General Hospital, what is the patient's age?","[""The patient's age is 12, according to the hospitalization records of Bridgewater General Hospital.""]",12,
16,"According to the hospitalization records of Clarksville General Hospital, what is O. Myers' chief complaint?","[""O. Myers' chief complaint is headache and dizziness."", 'The symptoms have persisted for 2 weeks.']",Headache and dizziness for 2 weeks,
17,"According to the hospitalization records of Farmington City Hospital, when was the patient admitted?",['The patient was admitted on 10th October according to the hospitalization records of Farmington City Hospital.'],"10th, October",
